Area Name,geo_shape,geo_point_2d
Alamance County,"{""coordinates"": [[[-79.2588222015, 36.1725219447], [-79.2595890582, 36.1338604809], [-79.2593617371, 36.1339468551], [-79.2590812715, 36.1336379514], [-79.2592124492, 36.1335096393], [-79.2592119589, 36.1333573224], [-79.2592503724, 36.1331403423], [-79.2","36.043717401, -79.3994269708"
Alexander County,"{""coordinates"": [[[-81.1095103706, 35.7766004981], [-81.1097325721, 35.7768329282], [-81.1099547737, 35.7770653578], [-81.1101769778, 35.7772977879], [-81.110399183, 35.7775302167], [-81.1106213896, 35.7777626451], [-81.1108435975, 35.777995073], [-81.111","35.9211091832, -81.1770354241"
Alleghany County,"{""coordinates"": [[[-81.2536524255, 36.3666023343], [-81.2532476716, 36.3668734155], [-81.25295175, 36.3671008079], [-81.2526558267, 36.3673281978], [-81.2525606965, 36.3674133201], [-81.2524968966, 36.3675226545], [-81.2524569584, 36.3676878847], [-81.252","36.4912737734, -81.1278545173"
Anson County,"{""coordinates"": [[[-80.276831945, 35.1957285696], [-80.2766184154, 35.1957752511], [-80.2764189681, 35.1958416447], [-80.2761351523, 35.1959217879], [-80.2759387053, 35.1959804345], [-80.2757335762, 35.1960639927], [-80.2755689132, 35.1961658633], [-80.27","34.9737936001, -80.1027134771"
Ashe County,"{""coordinates"": [[[-81.4775197692, 36.2402571025], [-81.4863223624, 36.2412629248], [-81.5027544214, 36.2502708654], [-81.5151359309, 36.2569015005], [-81.5216882362, 36.2553361], [-81.5326115209, 36.2657117977], [-81.5467752814, 36.2722361602], [-81.5523","36.43443169, -81.5005239597"
Avery County,"{""coordinates"": [[[-81.9819575312, 35.9113684164], [-81.9822262559, 35.9115395887], [-81.9824949805, 35.9117107605], [-81.9827637074, 35.9118819307], [-81.9830324355, 35.9120531012], [-81.9833011647, 35.9122242711], [-81.983569895, 35.9123954404], [-81.98","36.0766118579, -81.9226055333"
Beaufort County,"{""coordinates"": [[[-77.1740027785, 35.7328383445], [-77.1737815358, 35.7331128296], [-77.1735602905, 35.7333873143], [-77.1734050663, 35.7336481667], [-77.1732498399, 35.7339090198], [-77.1730012919, 35.7343341814], [-77.1728484435, 35.7346218733], [-77.1","35.4868825824, -76.8450533535"
Bertie County,"{""coordinates"": [[[-76.7605997989, 35.8648945452], [-76.7610848129, 35.8648308006], [-76.7615698252, 35.8647670523], [-76.7619016956, 35.8646754427], [-76.7622335653, 35.8645838313], [-76.7627009554, 35.8645530961], [-76.7631683452, 35.8645223582], [-76.7","36.0656374786, -76.9667144049"
Bladen County,"{""coordinates"": [[[-78.2545560352, 34.5534574179], [-78.2546834706, 34.5531982642], [-78.2547988294, 34.5530448472], [-78.2549464697, 34.5529153921], [-78.2551990467, 34.5526580102], [-78.2555426907, 34.5522466267], [-78.255733613, 34.5520361713], [-78.25","34.6145936408, -78.5636507796"
Brunswick County,"{""coordinates"": [[[-78.0296178556, 34.3317983497], [-78.0292705038, 34.3316485333], [-78.0289231511, 34.3314987167], [-78.0285757997, 34.331348899], [-78.0282284495, 34.3311990813], [-78.027960543, 34.3310345063], [-78.0276926365, 34.3308699298], [-78.027","34.0708624161, -78.2373986318"
