Area Name;Unnamed: 1;Year;Variable;Value
Alamance County;;2015;Occ Housing Units Heated by Gas Piped Underground;26122
Alamance County;;2000;Occupied Housing Units Heated by Fuel Oil;2996
Alamance County;;1990;Occ Housing Units Heated by Coal, Wood, Solar, or Other;2541
Alexander County;;2015;Occupied Housing Units Heated by Fuel Oil;1194
Alexander County;;2015;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;993
Alexander County;;2000;Occ Housing Units Heated by Coal, Wood, Solar, or Other;665
Alexander County;;1990;Occupied Housing Units Heated by Electricity;4095
Alexander County;;1990;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;413
Alleghany County;;2015;Occupied Housing Units without House Heating Fuel;55
Alleghany County;;2010;Occupied Housing Units without House Heating Fuel;13
Alleghany County;;2010;Occupied Housing Units Heated by Electricity;1811
Alleghany County;;2000;Occupied Housing Units without House Heating Fuel;0
Alleghany County;;1990;Occ Housing Units Heated by Coal, Wood, Solar, or Other;1162
Alleghany County;;1990;Occupied Housing Units Heated by Fuel Oil;1818
Alleghany County;;1990;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;117
Anson County;;2015;Occupied Housing Units Heated by Electricity;4952
Anson County;;2000;Occupied Housing Units without House Heating Fuel;24
Anson County;;1990;Occupied Housing Units Heated by Electricity;2333
Ashe County;;2015;Occupied Housing Units without House Heating Fuel;10
Ashe County;;2010;Occupied Housing Units without House Heating Fuel;0
Ashe County;;2000;Occupied Housing Units without House Heating Fuel;20
Ashe County;;1990;Occupied Housing Units Heated by Electricity;1344
Avery County;;2015;Occupied Housing Units Heated by Fuel Oil;1836
Beaufort County;;2010;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;7408
Bertie County;;2015;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;2318
Bertie County;;2010;Occ Housing Units Heated by Coal, Wood, Solar, or Other;340
Bertie County;;1990;Occ Housing Units Heated by Coal, Wood, Solar, or Other;1541
Bladen County;;2015;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;3201
Bladen County;;2000;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;4643
Bladen County;;2000;Occupied Housing Units without House Heating Fuel;49
Brunswick County;;2000;Occ Housing Units Heated by Coal, Wood, Solar, or Other;445
Buncombe County;;2000;Occupied Housing Units Heated by Fuel Oil;27106
Burke County;;2015;Occupied Housing Units without House Heating Fuel;129
Burke County;;2015;Occ Housing Units Heated by Coal, Wood, Solar, or Other;2006
Burke County;;2015;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;1931
Burke County;;2010;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;2623
Burke County;;2000;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;2523
Burke County;;2000;Occupied Housing Units Heated by Fuel Oil;9876
Cabarrus County;;2010;Occ Housing Units Heated by Coal, Wood, Solar, or Other;948
Caldwell County;;2015;Occ Housing Units Heated by Coal, Wood, Solar, or Other;1476
Caldwell County;;2010;Occupied Housing Units Heated by Fuel Oil;5316
Camden County;;2010;Occupied Housing Units Heated by Electricity;2111
Camden County;;2010;Occ Housing Units Heated by Gas Piped Underground;155
Camden County;;1990;Occupied Housing Units Heated by Fuel Oil;803
Carteret County;;2010;Occ Housing Units Heated by Coal, Wood, Solar, or Other;304
Carteret County;;2000;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;4443
Caswell County;;2015;Occupied Housing Units Heated by Electricity;5067
Caswell County;;2010;Occ Housing Units Heated by Gas Piped Underground;342
Caswell County;;2000;Occ Housing Units Heated by Gas Piped Underground;336
Caswell County;;2000;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;2539
Catawba County;;2015;Occ Housing Units Heated by Coal, Wood, Solar, or Other;1328
Catawba County;;2010;Occ Housing Units Heated by Coal, Wood, Solar, or Other;1061
Chatham County;;2015;Occupied Housing Units Heated by Fuel Oil;671
Cherokee County;;2010;Occ Housing Units Heated by Coal, Wood, Solar, or Other;939
Cherokee County;;1990;Occupied Housing Units Heated by Fuel Oil;2206
Chowan County;;2015;Occ Housing Units Heated by Gas Piped Underground;484
Chowan County;;2010;Occupied Housing Units Heated by Fuel Oil;591
Clay County;;2015;Occupied Housing Units Heated by Fuel Oil;225
Clay County;;2010;Occupied Housing Units without House Heating Fuel;0
Clay County;;2010;Occupied Housing Units Heated by Fuel Oil;339
Clay County;;2000;Occ Housing Units Heated by Coal, Wood, Solar, or Other;234
Cleveland County;;2015;Occupied Housing Units without House Heating Fuel;196
Cleveland County;;1990;Occ Housing Units Heated by Coal, Wood, Solar, or Other;2812
Columbus County;;2010;Occ Housing Units Heated by Coal, Wood, Solar, or Other;386
Columbus County;;2010;Occupied Housing Units Heated by Electricity;12341
Columbus County;;2010;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;7263
Columbus County;;1990;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;4745
Craven County;;2015;Occ Housing Units Heated by Gas Piped Underground;3767
Craven County;;2010;Occ Housing Units Heated by Coal, Wood, Solar, or Other;421
Craven County;;2000;Occ Housing Units Heated by Coal, Wood, Solar, or Other;471
Craven County;;1990;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;3838
Cumberland County;;2015;Occ Housing Units Heated by Coal, Wood, Solar, or Other;727
Cumberland County;;2015;Occupied Housing Units Heated by Electricity;89504
Cumberland County;;2015;Occ Housing Units Heated by Gas Piped Underground;23833
Cumberland County;;2000;Occ Housing Units Heated by Coal, Wood, Solar, or Other;738
Cumberland County;;1990;Occ Housing Units Heated by Gas Piped Underground;15360
Currituck County;;2015;Occ Housing Units Heated by Coal, Wood, Solar, or Other;298
Currituck County;;2010;Occupied Housing Units Heated by Electricity;6715
Currituck County;;1990;Occupied Housing Units without House Heating Fuel;6
Dare County;;2015;Occ Housing Units Heated by Coal, Wood, Solar, or Other;169
Dare County;;2015;Occupied Housing Units Heated by Fuel Oil;193
Dare County;;2000;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;1595
Dare County;;1990;Occupied Housing Units Heated by Fuel Oil;1369
Davidson County;;2015;Occ Housing Units Heated by Coal, Wood, Solar, or Other;1959
Davidson County;;2015;Occ Housing Units Heated by Gas Piped Underground;10099
Davidson County;;2000;Occ Housing Units Heated by Coal, Wood, Solar, or Other;1672
Davie County;;2015;Occupied Housing Units Heated by Electricity;10733
Davie County;;2000;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;950
Davie County;;2000;Occupied Housing Units Heated by Electricity;8011
Duplin County;;2015;Occ Housing Units Heated by Coal, Wood, Solar, or Other;312
Duplin County;;1990;Occupied Housing Units without House Heating Fuel;41
Duplin County;;1990;Occupied Housing Units Heated by Fuel Oil;2955
Durham County;;2015;Occupied Housing Units without House Heating Fuel;403
Durham County;;2015;Occ Housing Units Heated by Gas Piped Underground;46304
Durham County;;2010;Occupied Housing Units Heated by Electricity;54937
Edgecombe County;;2010;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;4600
Edgecombe County;;2000;Occ Housing Units Heated by Coal, Wood, Solar, or Other;461
Forsyth County;;2015;Occupied Housing Units without House Heating Fuel;436
Forsyth County;;2010;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;3465
Forsyth County;;2000;Occupied Housing Units Heated by Fuel Oil;22223
Forsyth County;;2000;Occupied Housing Units without House Heating Fuel;356
Forsyth County;;1990;Occupied Housing Units without House Heating Fuel;191
Forsyth County;;1990;Occupied Housing Units Heated by Fuel Oil;30590
Forsyth County;;1990;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;2243
Franklin County;;2010;Occ Housing Units Heated by Coal, Wood, Solar, or Other;719
Franklin County;;2010;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;5993
Franklin County;;2000;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;6071
Franklin County;;1990;Occupied Housing Units without House Heating Fuel;21
Franklin County;;1990;Occ Housing Units Heated by Coal, Wood, Solar, or Other;1738
Gaston County;;2015;Occupied Housing Units without House Heating Fuel;304
Gaston County;;2015;Occupied Housing Units Heated by Electricity;39478
Gates County;;2015;Occupied Housing Units without House Heating Fuel;29
Gates County;;1990;Occ Housing Units Heated by Coal, Wood, Solar, or Other;666
Graham County;;2010;Occupied Housing Units without House Heating Fuel;0
Graham County;;2010;Occ Housing Units Heated by Gas Piped Underground;63
Granville County;;2015;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;3071
Granville County;;2010;Occ Housing Units Heated by Coal, Wood, Solar, or Other;822
Granville County;;2010;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;4080
Granville County;;2010;Occ Housing Units Heated by Gas Piped Underground;2574
Granville County;;2000;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;4249
Greene County;;2015;Occupied Housing Units without House Heating Fuel;0
Greene County;;2015;Occupied Housing Units Heated by Fuel Oil;158
Greene County;;2015;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;1498
Greene County;;2000;Occ Housing Units Heated by Coal, Wood, Solar, or Other;233
Greene County;;1990;Occ Housing Units Heated by Coal, Wood, Solar, or Other;598
Greene County;;1990;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;1295
Greene County;;1990;Occ Housing Units Heated by Gas Piped Underground;214
Guilford County;;2010;Occ Housing Units Heated by Coal, Wood, Solar, or Other;1771
Guilford County;;2010;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;7944
Guilford County;;2000;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;7941
Guilford County;;1990;Occupied Housing Units without House Heating Fuel;190
Halifax County;;2010;Occupied Housing Units without House Heating Fuel;22
Halifax County;;2010;Occupied Housing Units Heated by Fuel Oil;2265
Halifax County;;2000;Occupied Housing Units Heated by Fuel Oil;3224
Halifax County;;1990;Occ Housing Units Heated by Gas Piped Underground;3276
Harnett County;;2015;Occupied Housing Units without House Heating Fuel;164
Harnett County;;2015;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;4895
Harnett County;;2010;Occ Housing Units Heated by Coal, Wood, Solar, or Other;462
Harnett County;;2010;Occupied Housing Units Heated by Fuel Oil;542
Harnett County;;2000;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;7631
Harnett County;;2000;Occ Housing Units Heated by Coal, Wood, Solar, or Other;519
Henderson County;;2010;Occupied Housing Units without House Heating Fuel;207
Henderson County;;2010;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;3696
Henderson County;;2010;Occ Housing Units Heated by Gas Piped Underground;12819
Henderson County;;1990;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;1260
Hertford County;;2015;Occupied Housing Units Heated by Electricity;5152
Hertford County;;2010;Occ Housing Units Heated by Coal, Wood, Solar, or Other;269
Hertford County;;2000;Occ Housing Units Heated by Gas Piped Underground;709
Hertford County;;2000;Occupied Housing Units Heated by Fuel Oil;1733
Hertford County;;2000;Occupied Housing Units Heated by Electricity;4084
Hertford County;;1990;Occupied Housing Units without House Heating Fuel;20
Hertford County;;1990;Occ Housing Units Heated by Coal, Wood, Solar, or Other;1041
Hertford County;;1990;Occ Housing Units Heated by Gas Piped Underground;550
Hoke County;;2010;Occupied Housing Units Heated by Electricity;10903
Iredell County;;2015;Occupied Housing Units without House Heating Fuel;213
Iredell County;;2010;Occupied Housing Units Heated by Fuel Oil;3386
Iredell County;;2010;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;2970
Jackson County;;2010;Occ Housing Units Heated by Coal, Wood, Solar, or Other;1280
Jackson County;;2010;Occupied Housing Units Heated by Electricity;8469
Johnston County;;1990;Occupied Housing Units without House Heating Fuel;94
Johnston County;;1990;Occ Housing Units Heated by Gas Piped Underground;1029
Jones County;;2015;Occupied Housing Units Heated by Fuel Oil;141
Jones County;;2015;Occupied Housing Units Heated by Electricity;2934
Jones County;;2010;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;995
Jones County;;1990;Occ Housing Units Heated by Coal, Wood, Solar, or Other;514
Jones County;;1990;Occupied Housing Units Heated by Fuel Oil;934
Jones County;;1990;Occupied Housing Units Heated by Electricity;1192
Lee County;;2010;Occupied Housing Units Heated by Fuel Oil;762
Lee County;;1990;Occ Housing Units Heated by Coal, Wood, Solar, or Other;1052
Lenoir County;;2010;Occupied Housing Units Heated by Fuel Oil;819
Lenoir County;;1990;Occupied Housing Units Heated by Electricity;7648
Lincoln County;;2015;Occ Housing Units Heated by Coal, Wood, Solar, or Other;875
Lincoln County;;2010;Occupied Housing Units Heated by Electricity;19658
Lincoln County;;1990;Occ Housing Units Heated by Coal, Wood, Solar, or Other;2334
Lincoln County;;1990;Occupied Housing Units Heated by Electricity;8831
McDowell County;;2015;Occupied Housing Units Heated by Electricity;11033
McDowell County;;2015;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;1615
McDowell County;;2010;Occupied Housing Units Heated by Fuel Oil;4875
McDowell County;;2010;Occ Housing Units Heated by Gas Piped Underground;500
McDowell County;;1990;Occ Housing Units Heated by Gas Piped Underground;16
Macon County;;2015;Occ Housing Units Heated by Gas Piped Underground;489
Macon County;;2010;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;4361
Macon County;;1990;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;1082
Macon County;;1990;Occ Housing Units Heated by Gas Piped Underground;42
Madison County;;2015;Occupied Housing Units Heated by Electricity;3055
Madison County;;2000;Occupied Housing Units without House Heating Fuel;2
Martin County;;2000;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;4107
Martin County;;2000;Occupied Housing Units without House Heating Fuel;19
Martin County;;1990;Occ Housing Units Heated by Gas Piped Underground;50
Mecklenburg County;;2000;Occupied Housing Units Heated by Electricity;118653
Mitchell County;;2010;Occupied Housing Units Heated by Electricity;1753
Mitchell County;;2000;Occupied Housing Units Heated by Electricity;1016
Mitchell County;;1990;Occ Housing Units Heated by Coal, Wood, Solar, or Other;1319
Montgomery County;;1990;Occupied Housing Units Heated by Fuel Oil;3205
Moore County;;2015;Occupied Housing Units Heated by Fuel Oil;1053
Moore County;;2015;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;3523
Moore County;;1990;Occupied Housing Units Heated by Electricity;11913
Nash County;;2000;Occupied Housing Units without House Heating Fuel;59
Nash County;;1990;Occupied Housing Units Heated by Fuel Oil;4092
Nash County;;1990;Occupied Housing Units Heated by Electricity;11035
Nash County;;1990;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;5543
Nash County;;1990;Occ Housing Units Heated by Gas Piped Underground;5578
New Hanover County;;2015;Occ Housing Units Heated by Coal, Wood, Solar, or Other;311
New Hanover County;;2010;Occ Housing Units Heated by Gas Piped Underground;7097
New Hanover County;;1990;Occupied Housing Units Heated by Fuel Oil;6366
Northampton County;;2015;Occupied Housing Units without House Heating Fuel;28
Northampton County;;1990;Occupied Housing Units without House Heating Fuel;13
Onslow County;;2000;Occupied Housing Units Heated by Electricity;40434
Orange County;;2015;Occ Housing Units Heated by Coal, Wood, Solar, or Other;1278
Orange County;;2010;Occupied Housing Units without House Heating Fuel;104
Pamlico County;;2015;Occupied Housing Units without House Heating Fuel;20
Pamlico County;;2015;Occ Housing Units Heated by Coal, Wood, Solar, or Other;105
Pamlico County;;2015;Occupied Housing Units Heated by Fuel Oil;159
Pamlico County;;1990;Occ Housing Units Heated by Coal, Wood, Solar, or Other;458
Pasquotank County;;2015;Occupied Housing Units Heated by Fuel Oil;816
Pasquotank County;;2015;Occupied Housing Units Heated by Electricity;10655
Pasquotank County;;2000;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;2836
Pender County;;2015;Occ Housing Units Heated by Coal, Wood, Solar, or Other;316
Pender County;;2015;Occ Housing Units Heated by Gas Piped Underground;370
Pender County;;2010;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;3646
Pender County;;2000;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;2987
Pender County;;1990;Occ Housing Units Heated by Gas Piped Underground;96
Perquimans County;;2000;Occupied Housing Units Heated by Electricity;1921
Person County;;2015;Occ Housing Units Heated by Coal, Wood, Solar, or Other;851
Person County;;2010;Occupied Housing Units without House Heating Fuel;71
Person County;;2010;Occ Housing Units Heated by Gas Piped Underground;2501
Pitt County;;2015;Occ Housing Units Heated by Coal, Wood, Solar, or Other;381
Pitt County;;2010;Occupied Housing Units Heated by Fuel Oil;1143
Pitt County;;2010;Occ Housing Units Heated by Gas Piped Underground;13053
Pitt County;;2000;Occ Housing Units Heated by Gas Piped Underground;11320
Pitt County;;2000;Occupied Housing Units without House Heating Fuel;164
Polk County;;2010;Occupied Housing Units Heated by Electricity;4854
Polk County;;2000;Occ Housing Units Heated by Gas Piped Underground;778
Randolph County;;2015;Occupied Housing Units Heated by Electricity;35039
Randolph County;;2015;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;5446
Randolph County;;2010;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;7219
Richmond County;;2015;Occupied Housing Units Heated by Fuel Oil;675
Richmond County;;2015;Occ Housing Units Heated by Gas Piped Underground;3025
Richmond County;;2010;Occ Housing Units Heated by Gas Piped Underground;3233
Richmond County;;2000;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;3909
Richmond County;;1990;Occupied Housing Units without House Heating Fuel;30
Robeson County;;2015;Occ Housing Units Heated by Bottled Tank or LP Gas Fuel;5994
Robeson County;;2010;Occ Housing Units Heated by Coal, Wood, Solar, or Other;1286
Rockingham County;;2015;Occ Housing Units Heated by Gas Piped Underground;9346
