AreaName,Year,Population
Alexander,2010,37198
Bertie,2010,21282
Brunswick,2020,136693
Caldwell,2000,77708
Camden,1990,5904
Cherokee,2020,28774
Craven,1990,81613
Edgecombe,1990,56692
Forsyth,1990,265878
Gaston,2000,190336
Graham,2020,8030
Greene,2000,18974
Harnett,2020,133568
Haywood,2020,62089
Iredell,2000,122660
Jackson,2010,40271
Lee,1990,41370
Lee,2000,49170
Lenoir,2010,59495
Avery,2010,17797
Lenoir,2020,55122
Avery,2020,17806
Lincoln,1990,50319
Bertie,2000,19757
Macon,1990,23499
Martin,2020,22031
Brunswick,2010,107431
Mecklenburg,1990,511481
Burke,2010,90912
Nash,1990,76677
Camden,2010,9980
Carteret,1990,52553
Northampton,2010,22099
Caswell,2000,23501
Northampton,2000,22086
Caswell,2020,22736
Catawba,2020,160610
Pamlico,2010,13144
Pasquotank,2010,40661
Person,2020,39097
Clay,1990,7155
Craven,2010,103505
Rockingham,2010,93643
Rowan,2000,130340
Rowan,2020,146875
Rutherford,1990,56919
Cumberland,2000,302960
Scotland,2020,34174
Stanly,2020,62504
Stokes,1990,37223
Davidson,2010,162878
Swain,2000,12973
Swain,2020,14117
Durham,1990,181854
Transylvania,2010,33090
Union,2020,238267
Wake,2010,900993
Gaston,1990,175093
Graham,2010,8861
Watauga,2020,54086
Greene,2020,20451
Guilford,2010,488406
Guilford,1990,347420
Yadkin,2020,37214
Yancey,2020,18470
Henderson,1990,69326
Hertford,1990,22523
Hoke,1990,22856
Jones,2020,9172
Lee,2010,57866
Lee,2020,63285
Lenoir,1990,57274
Madison,2000,19635
Martin,2000,25546
Mecklenburg,2020,1115482
Mitchell,2020,14903
Montgomery,2020,25751
Nash,2020,94970
Polk,2000,18324
Randolph,2010,141752
Randolph,2020,144171
Sampson,2010,63431
Surry,2010,73673
Transylvania,2020,32986
Tyrrell,2020,3245
Union,2000,123772
Warren,2010,20972
Washington,1990,13997
Watauga,1990,36952
Wilkes,2000,65636
Alexander,2020,36444
Ashe,2010,27281
Beaufort,2010,47759
Bertie,2020,17934
Alamance,2010,151131
Alamance,1990,108213
Burke,1990,75740
Burke,2000,89145
Alleghany,2000,10680
Alleghany,2020,10888
Camden,2020,10355
Carteret,2000,59383
Anson,2010,26948
Anson,1990,23474
Anson,2000,25275
Chatham,1990,38759
Ashe,2020,26577
Chowan,2010,14793
Chowan,1990,13506
Clay,2010,10587
Bladen,1990,28663
Brunswick,1990,50985
Columbus,2020,50623
Alexander,1990,27544
Alexander,2000,33603
Cumberland,2010,319431
Alleghany,2010,11155
Currituck,2000,18190
Ashe,2000,24384
Davidson,2000,147250
Davie,1990,27859
Davie,2000,34835
Bladen,2020,29606
Davie,2020,42712
Durham,2000,223314
Edgecombe,2010,56552
Buncombe,2000,206310
Edgecombe,2020,48900
Catawba,2000,141686
Franklin,2000,47260
Franklin,2020,68573
Granville,2000,48498
Alamance,2000,130800
Anson,2020,22055
Caswell,1990,20693
Halifax,2010,54691
Ashe,1990,22209
Avery,1990,14867
Beaufort,2020,44652
Currituck,2020,28100
Chatham,2020,76285
Cherokee,2010,27444
Henderson,2010,106740
Dare,2000,29967
Cherokee,1990,20170
Cherokee,2000,24298
Bladen,2010,35190
Hoke,2010,46952
Clay,2000,8775
Duplin,2000,49063
Brunswick,2000,73141
Buncombe,1990,174778
Forsyth,2010,350670
Iredell,2010,159437
Forsyth,2020,382590
Craven,2000,91523
Iredell,2020,186693
Jackson,1990,26846
Cumberland,1990,274713
Cumberland,2020,334728
Johnston,2020,215999
Cabarrus,2000,131063
Cabarrus,2020,225804
Currituck,1990,13736
Caldwell,2010,83029
Gates,2000,10516
Dare,2020,36915
Davidson,1990,126677
Halifax,2020,48622
Chatham,2010,63505
Harnett,2000,91085
Henderson,2020,116281
Clay,2020,11089
Franklin,2010,60619
Madison,1990,16953
Martin,1990,25078
Cleveland,2010,98078
Cleveland,2000,96258
Columbus,1990,49587
Hyde,2000,5826
Gates,2020,10478
Graham,1990,7196
Dare,1990,22746
Granville,2010,57529
Moore,2000,74768
Davie,2010,41240
Granville,2020,60992
Durham,2010,269974
Gaston,2020,227943
Guilford,2020,541299
New Hanover,2000,160327
Gates,1990,9305
Granville,1990,38341
Northampton,1990,20798
Macon,2010,33922
Iredell,1990,92935
Pamlico,2000,12934
Jackson,2020,43109
Haywood,2000,54033
Mecklenburg,2010,919628
Johnston,2010,168878
Henderson,2000,89193
Hertford,2010,24669
Jones,2010,10153
Hertford,2000,22977
Hoke,2000,33650
Mitchell,1990,14433
Perquimans,2020,13005
Hoke,2020,52082
Mitchell,2000,15687
Jones,2000,10398
Hyde,2010,5810
Montgomery,2000,26827
Lenoir,2000,59619
Moore,1990,59000
Lincoln,2010,78265
Johnston,2000,121900
Robeson,2000,123241
Robeson,2020,116530
Rockingham,1990,86064
McDowell,2010,44996
Macon,2020,37014
Rowan,1990,110605
Onslow,2020,204576
McDowell,1990,35681
McDowell,2000,42151
Macon,2000,29806
Pasquotank,2020,40568
Sampson,2020,59036
Perquimans,2010,13453
Scotland,2010,36157
Scotland,2000,35998
Moore,2020,99727
Stanly,2000,58100
Person,2000,35623
Montgomery,1990,23352
Swain,2010,13981
Polk,2010,20510
Tyrrell,1990,3856
New Hanover,2020,225702
Northampton,2020,17471
Robeson,2010,134168
Pender,2000,41082
Perquimans,2000,11368
Person,1990,30180
Orange,1990,93851
Pitt,2010,168148
Orange,2020,148696
Pitt,2000,133719
Pamlico,1990,11368
Rowan,2010,138428
Wayne,2020,117333
Randolph,2000,130471
Richmond,2020,42946
Wilson,2020,78784
Sampson,1990,47297
Sampson,2000,60161
Pitt,1990,108480
Rockingham,2000,91928
Pitt,2020,170243
Yancey,2000,17774
Stokes,2010,47401
Stanly,2010,60585
Surry,2000,71209
Stokes,2000,44711
Robeson,1990,105170
Stokes,2020,44520
Tyrrell,2000,4149
Rutherford,2010,67810
Rutherford,2000,62901
Vance,2000,42954
Washington,2010,13228
Surry,1990,61704
Wilkes,2020,65969
Wilson,2000,73811
Union,1990,84210
Vance,2010,45422
Wilkes,1990,59393
Wake,2020,1129410
Warren,2000,19972
Warren,2020,18642
Wayne,2010,122623
Yancey,2010,17818
Wayne,1990,104666
Yadkin,1990,30488
