County,Year,heated_by_electricity,heated_by_gas,heated_by_fuel_oil,heated_by_other,no_heating,heated_by_lp_gas
Alamance County,1990,12543,15946,7552,2541,64,4006
Alamance County,2000,16783,24211,2996,1005,78,6511
Alamance County,2010,23032,26390,2086,1243,55,6194
Alamance County,2015,26576,26122,1578,1918,232,5119
Alamance County,2020,32290,26842,848,1101,369,4005
Alamance County,2025,39146,27705,-27,1012,329,2668
Alamance County,2030,44860,28425,-757,867,373,1554
Alamance County,2035,50574,29145,-1487,723,418,440
Alamance County,2040,56291,29866,-2218,579,462,-674
Alexander County,1990,4095,20,3735,2032,36,413
Alexander County,2000,7642,136,3130,665,52,1512
Alexander County,2010,9015,417,2128,677,89,1093
Alexander County,2015,10244,340,1194,728,82,993
Alexander County,2020,11191,494,919,606,95,744
Alexander County,2025,12327,579,589,459,110,1059
Alexander County,2030,13274,657,314,337,123,1088
Alexander County,2035,14221,735,39,215,136,1116
Alexander County,2040,15168,814,-236,93,149,1145
Alleghany County,1990,790,4,1818,1162,3,117
Alleghany County,2000,1115,8,2383,464,0,623
Alleghany County,2010,1811,78,1829,556,13,684
Alleghany County,2015,2098,42,1236,663,55,676
Alleghany County,2020,2170,210,1060,705,0,856
Alleghany County,2025,2256,172,848,755,28,1071
Alleghany County,2030,2328,199,672,797,31,1251
Alleghany County,2035,2400,226,496,839,35,1431
Alleghany County,2040,2472,253,320,881,39,1612
Anson County,1990,2333,638,3010,1428,12,1110
Anson County,2000,3090,895,1780,355,24,3060
Anson County,2010,4090,921,1126,544,28,2826
Anson County,2015,4952,677,1069,426,5,2382
Anson County,2020,5715,547,461,182,21,2877
Anson County,2025,6630,391,-268,-110,18,3255
Anson County,2030,7393,261,-876,-354,19,3467
Anson County,2035,8156,131,-1484,-598,19,3679
Anson County,2040,8919,0,-2092,-842,19,3891
Ashe County,1990,1344,4,4437,2922,0,141
Ashe County,2000,1999,24,6478,1082,20,808
Ashe County,2010,3469,103,5173,1549,0,1554
Ashe County,2015,4810,339,3503,1771,10,1353
Ashe County,2020,4987,376,3092,1606,16,1808
Ashe County,2025,5199,420,2598,1408,14,1980
Ashe County,2030,5376,486,2187,1243,15,2168
Ashe County,2035,5553,552,1776,1078,16,2356
Ashe County,2040,5730,618,1365,912,17,2545
Avery County,1990,1240,35,2426,1480,2,337
Avery County,2000,1233,16,3774,545,0,964
Avery County,2010,2315,314,2152,907,0,1506
Avery County,2015,2652,225,1836,988,31,1069
Avery County,2020,2512,291,1574,885,16,1291
Avery County,2025,2344,366,1259,761,23,1602
Avery County,2030,2204,416,997,658,27,1751
Avery County,2035,2064,466,735,555,30,1901
Avery County,2040,1923,516,473,452,34,2050
Beaufort County,1990,4726,1847,3724,1631,47,4182
Beaufort County,2000,6408,2571,1538,462,58,7282
Beaufort County,2010,8857,2450,758,555,31,7408
Beaufort County,2015,9686,2061,398,578,32,5761
Beaufort County,2020,11162,2294,459,423,64,5817
Beaufort County,2025,12933,2573,532,237,45,5884
Beaufort County,2030,14409,2806,593,82,45,5940
Beaufort County,2035,15885,3039,654,-72,45,5996
Beaufort County,2040,17361,3272,715,-228,45,6052
Bertie County,1990,1769,39,2502,1541,36,1525
Bertie County,2000,2645,124,1494,591,16,2873
Bertie County,2010,4041,151,774,340,16,2838
Bertie County,2015,4021,144,601,312,12,2318
Bertie County,2020,4835,180,481,136,40,2336
Bertie County,2025,5811,223,337,-75,22,2750
Bertie County,2030,6625,259,217,-251,21,2849
Bertie County,2035,7439,295,97,-427,21,2947
Bertie County,2040,8254,331,-23,-603,20,3045
Bladen County,1990,3783,271,2653,1481,37,2535
Bladen County,2000,5975,722,1105,403,49,4643
Bladen County,2010,7635,542,858,456,39,4444
Bladen County,2015,9614,870,336,331,49,3201
